,id_usuario,volveria
0,650,1
1,234,0
2,31,0
3,552,0
4,411,0
5,134,1
6,497,1
7,434,0
8,528,0
9,112,1
10,276,1
11,446,1
12,138,0
13,233,0
14,457,0
15,584,0
16,466,0
17,773,1
18,849,0
19,190,0
20,349,1
21,58,0
22,695,0
23,817,1
24,213,0
25,48,1
26,600,0
27,166,0
28,758,0
29,654,1
30,306,1
31,335,1
32,80,1
33,836,1
34,857,1
35,776,0
36,556,0
37,637,0
38,100,0
39,238,1
40,666,0
41,32,1
42,340,0
43,435,0
44,160,0
45,485,0
46,149,0
47,215,0
48,341,1
49,433,1
50,851,1
51,558,0
52,395,1
53,833,0
54,255,1
55,787,1
56,554,0
57,727,1
58,163,0
59,430,0
60,40,1
61,307,1
62,837,0
63,450,0
64,625,0
65,738,0
66,754,0
67,691,0
68,42,1
69,249,0
70,179,0
71,862,0
72,186,0
73,159,0
74,14,0
75,579,1
76,566,0
77,74,0
78,509,0
79,337,0
80,228,0
81,182,0
82,728,1
83,246,0
84,454,0
85,354,0
86,82,0
87,172,1
88,8,1
89,640,0
