,id_usuario,volveria
0,650,0
1,234,0
2,31,0
3,552,0
4,411,0
5,134,0
6,497,0
7,434,1
8,528,0
9,112,0
10,276,0
11,446,1
12,138,0
13,233,0
14,457,0
15,584,1
16,466,0
17,773,1
18,849,1
19,190,1
20,349,0
21,58,1
22,695,0
23,817,0
24,213,1
25,48,0
26,600,0
27,166,0
28,758,0
29,654,0
30,306,0
31,335,1
32,80,0
33,836,0
34,857,1
35,776,0
36,556,0
37,637,0
38,100,1
39,238,0
40,666,0
41,32,1
42,340,0
43,435,1
44,160,0
45,485,0
46,149,0
47,215,0
48,341,0
49,433,1
50,851,1
51,558,0
52,395,0
53,833,0
54,255,0
55,787,0
56,554,1
57,727,0
58,163,0
59,430,0
60,40,0
61,307,1
62,837,0
63,450,0
64,625,0
65,738,1
66,754,0
67,691,1
68,42,0
69,249,0
70,179,0
71,862,1
72,186,0
73,159,0
74,14,1
75,579,1
76,566,0
77,74,0
78,509,1
79,337,0
80,228,0
81,182,0
82,728,0
83,246,0
84,454,0
85,354,0
86,82,0
87,172,1
88,8,0
89,640,0
